Date/Time,[1] Dew Point Temperature (C),[1] Diffuse Horizontal Radiation (Wh/m2),[1] Direct Normal Radiation (Wh/m2),[1] Dry Bulb Temperature (C),[1] Relative Humidity (),[1] Total Sky Cover (tenths),[1] Wind Direction ,[1] Wind Speed (m/s),[1] Surface Outside Face Temperature ,Lats,Longs
Year 1 Dec 08 00:00,6.4,0,0,19.7,42,0,360,2.8,17.73369349,26.263863,73.008957
Year 1 Dec 08 01:00,6.7,0,0,19.2,44,0,360,3.1,16.95061963,26.263863,73.008957
Year 1 Dec 08 02:00,6.2,0,0,18.7,44,0,360,3.1,16.18839223,26.263863,73.008957
Year 1 Dec 08 03:00,5.4,0,0,18.2,43,0,360,3.1,15.56024547,26.263863,73.008957
Year 1 Dec 08 04:00,5.3,0,0,17.7,44,0,360,2.8,14.77852815,26.263863,73.008957
Year 1 Dec 08 05:00,4.9,0,0,17.2,44,0,360,2.3,14.19405335,26.263863,73.008957
Year 1 Dec 08 06:00,4.8,0,0,16.7,45,0,360,1.8,13.64310666,26.263863,73.008957
Year 1 Dec 08 07:00,4.6,0,0,16.2,46,0,360,1.6,13.23321311,26.263863,73.008957
Year 1 Dec 08 08:00,4.5,28,264,15.7,47,0,360,1.8,13.42470588,26.263863,73.008957
Year 1 Dec 08 09:00,5,73,528,16.3,47,0,50,2,15.56406742,26.263863,73.008957
Year 1 Dec 08 10:00,6.8,105,695,18.6,46,0,50,2.1,17.92544568,26.263863,73.008957
Year 1 Dec 08 11:00,7.1,127,769,20.8,41,1,50,2.1,20.08589365,26.263863,73.008957
Year 1 Dec 08 12:00,7.4,118,880,23.3,36,2,50,2.1,22.71432006,26.263863,73.008957
Year 1 Dec 08 13:00,6.7,123,882,25,31,3,50,1.9,25.48075123,26.263863,73.008957
Year 1 Dec 08 14:00,7.1,108,914,26,30,3,50,1.6,32.04785248,26.263863,73.008957
Year 1 Dec 08 15:00,7.3,106,855,26.8,29,3,320,1.2,35.46865572,26.263863,73.008957
Year 1 Dec 08 16:00,6.3,105,693,26.8,27,4,320,0.8,31.93253617,26.263863,73.008957
Year 1 Dec 08 17:00,6.1,77,470,26.6,27,4,320,0.5,29.64363918,26.263863,73.008957
Year 1 Dec 08 18:00,4.3,11,290,24.5,27,4,320,0.2,26.55730561,26.263863,73.008957
Year 1 Dec 08 19:00,3.7,0,0,23.8,27,3,320,0.3,22.94164762,26.263863,73.008957
Year 1 Dec 08 20:00,3.5,0,0,23.5,27,3,320,0.8,20.96281459,26.263863,73.008957
Year 1 Dec 08 21:00,3.3,0,0,22.7,28,2,360,1.3,19.46834022,26.263863,73.008957
Year 1 Dec 08 22:00,3,0,0,21.7,29,1,360,1.3,18.14192551,26.263863,73.008957
Year 1 Dec 08 23:00,3.6,0,0,21.3,31,1,360,0.8,17.52543804,26.263863,73.008957
Year 1 Dec 09 00:00,3.7,0,0,20.4,33,0,360,0.3,17.00179471,26.263863,73.008957
Year 1 Dec 09 01:00,3.7,0,0,20,34,0,360,0.3,16.50038132,26.263863,73.008957
Year 1 Dec 09 02:00,3.7,0,0,19.5,35,0,360,1.1,16.11329016,26.263863,73.008957
Year 1 Dec 09 03:00,3.1,0,0,18.8,35,0,360,1.8,15.68255772,26.263863,73.008957
Year 1 Dec 09 04:00,3.1,0,0,18.8,35,0,360,2,14.76599608,26.263863,73.008957
Year 1 Dec 09 05:00,2.6,0,0,17.3,38,0,360,1.8,13.11370317,26.263863,73.008957
Year 1 Dec 09 06:00,3.7,0,0,16.2,44,0,360,1.6,12.18852686,26.263863,73.008957
Year 1 Dec 09 07:00,3.3,0,0,15.8,43,0,360,1.3,12.04476392,26.263863,73.008957
Year 1 Dec 09 08:00,3.7,26,263,15.5,46,0,360,0.8,12.89019239,26.263863,73.008957
Year 1 Dec 09 09:00,3.2,72,526,16,43,0,360,0.3,15.07180526,26.263863,73.008957
Year 1 Dec 09 10:00,2.4,107,683,18,35,0,360,0,17.83125527,26.263863,73.008957
Year 1 Dec 09 11:00,2.8,118,805,21,30,0,360,0,19.99819336,26.263863,73.008957
