Date/Time,[1] Site Diffuse Solar Radiation Rate per Area  (W/m2),[1] Site Direct Solar Radiation Rate per Area  (W/m2),[1] Site Outdoor Air Dewpoint Temperature  (C),[1] Site Outdoor Air Drybulb Temperature  (C),[1] Site Solar Altitude Angle  (deg),[1] Site Solar Azimuth Angle  (deg),[1] Site Wind Speed  (m/s),[1] Surface Outside Face Temperature  (C),Orientation,Lats,Longs,[1] Dry Bulb Temperature (C),[1] Global Horizontal Radiation (Wh/m2),[1] Relative Humidity (),DNR,SC,hdi
Year 1 Apr 25 22:00,0,0,2.1,29.55,-36.9827218,308.4649971,5.375,33.21919341,270,22.7196,75.8577,29.2,0,18,0,0,0
Year 1 Apr 25 23:00,0,0,1.9,28.45,-46.64544904,323.27642,5.1,31.84658347,270,22.7196,75.8577,28.2,0,18,0,0,0
Year 1 Apr 26 00:00,0,0,1.5,27.3,-52.85264133,343.8398605,5.375,30.46079923,270,22.7196,75.8577,27,0,19,0,0,0
Year 1 Apr 26 01:00,0,0,1.175,26.25,-53.48818309,8.265481247,5.575,29.22556298,270,22.7196,75.8577,26,0,19,0,0,0
Year 1 Apr 26 02:00,0,0,1.25,25.1,-48.86578836,30.40369887,5.975,28.08957251,270,22.7196,75.8577,24.8,0,21,0,0,0
Year 1 Apr 26 03:00,0,0,2.125,24.35,-40.18186433,46.95972545,5.95,27.10223282,270,22.7196,75.8577,24.2,0,24,0,0,0
Year 1 Apr 26 04:00,0,0,3.9,23.825,-29.14585251,58.64655702,6.05,26.43937515,270,22.7196,75.8577,23.7,0,29,0,0,0
Year 1 Apr 26 05:00,0,0,2.675,24.225,-16.82488488,67.18909382,5.725,26.43096381,270,22.7196,75.8577,24.4,0,23,0,0,0
Year 1 Apr 26 06:00,0,0,4.35,25.3,-3.783506672,73.87795556,6.35,26.53877097,270,22.7196,75.8577,25.6,0,27,0,0,0
Year 1 Apr 26 07:00,7.5,204.75,7.275,27.175,9.675897158,79.55467627,6.525,27.51405104,270,22.7196,75.8577,27.7,0,29,0,0,0
Year 1 Apr 26 08:00,26.5,889.25,9.65,29.425,23.3756154,84.83518197,6.2,29.80574731,270,22.7196,75.8577,30,215,29,819,0,30
Year 1 Apr 26 09:00,45.25,1007.5,10.35,31.875,37.18963763,90.34110808,4.975,32.28073261,270,22.7196,75.8577,32.5,530,26,1100,0,16
Year 1 Apr 26 10:00,126.75,778.5,9.725,34,50.98538314,97.08974154,4,35.1024332,270,22.7196,75.8577,34.5,609,22,730,0,133
