Date/Time,[1] Site Diffuse Solar Radiation Rate per Area  (W/m2),[1] Site Direct Solar Radiation Rate per Area  (W/m2),[1] Site Outdoor Air Dewpoint Temperature  (C),[1] Site Outdoor Air Drybulb Temperature  (C),[1] Site Solar Altitude Angle  (deg),[1] Site Solar Azimuth Angle  (deg),[1] Site Wind Direction  (deg),[1] Site Wind Speed  (m/s),[1] Surface Outside Face Temperature  (C),Orientation,Lats,Longs,[1] Dry Bulb Temperature (C),[1] Global Horizontal Radiation (Wh/m2),[1] Relative Humidity (),DNR,SC,hdi
Year 1 Jun 25 00:00,0,0,18.875,27.2,-42.50168213,346.3729,257,7.35,28.34822298,0,22.7196,75.8577,27.2,0,61,0,5,0
Year 1 Jun 25 01:00,0,0,19.3,27.05,-43.55828804,5.047991585,265.25,7.7,27.85021008,0,22.7196,75.8577,27,0,63,0,5,0
Year 1 Jun 25 02:00,0,0,19.85,26.7,-40.1888784,22.95530832,269.25,8.175,27.38556212,0,22.7196,75.8577,26.6,0,67,0,5,0
Year 1 Jun 25 03:00,0,0,20.075,26,-33.17013848,37.7350537,264,8.45,26.8473966,0,22.7196,75.8577,25.8,0,71,0,3,0
Year 1 Jun 25 04:00,0,0,20.4,25.125,-23.64526475,49.05180141,256.75,8.5,26.17877503,0,22.7196,75.8577,24.9,0,77,0,2,0
Year 1 Jun 25 05:00,0,0,20.05,24.375,-12.53737519,57.61258239,249.75,7.15,25.73378696,0,22.7196,75.8577,24.2,0,77,0,5,0
Year 1 Jun 25 06:00,2,0.5,19.825,24.275,-0.44177073,64.22337911,251,7.3,25.45585772,0,22.7196,75.8577,24.3,0,76,0,5,0
Year 1 Jun 25 07:00,27.75,69.5,19.725,24.825,12.28186458,69.49370012,249.75,8.025,26.31310503,0,22.7196,75.8577,25,8,72,2,6,8
Year 1 Jun 25 08:00,88,384,19.175,25.9,25.41482731,73.83371932,248.25,9.1,29.84027209,0,22.7196,75.8577,26.2,160,65,272,7,87
Year 1 Jun 25 09:00,99.75,733.25,18.7,27.55,38.81917761,77.50354359,243.5,9.85,32.43824647,0,22.7196,75.8577,28,438,57,720,7,91
Year 1 Jun 25 10:00,126,800.5,18,29.425,52.40323853,80.63658202,243.5,10,33.63507057,0,22.7196,75.8577,29.9,645,48,773,6,126
Year 1 Jun 25 11:00,120.25,911.25,17.65,31.325,66.10140167,83.15296077,247,10,34.58449136,0,22.7196,75.8577,31.8,857,43,883,5,126
Year 1 Jun 25 12:00,147.5,911,17.075,32.85,79.85430391,83.40424857,256.25,10,35.07698882,0,22.7196,75.8577,33.2,1036,38,996,2,103
Year 1 Jun 25 13:00,296.75,625,16.375,34.1,86.05291768,309.4805921,264.25,10,35.95123826,0,22.7196,75.8577,34.4,932,34,656,1,281
Year 1 Jun 25 14:00,306.5,596.5,15.675,34.85,72.52042329,276.1057444,269,9.55,37.42596224,0,22.7196,75.8577,35,873,31,532,1,344
Year 1 Jun 25 15:00,206.25,739.25,15.35,35.3,58.78801988,278.0899328,264.75,8.575,38.45872913,0,22.7196,75.8577,35.4,932,30,790,2,194
Year 1 Jun 25 16:00,254.5,487,15.075,35.175,45.14353929,280.9695756,257.75,7.925,39.46660999,0,22.7196,75.8577,35.1,726,30,587,2,243
Year 1 Jun 25 17:00,260,220.25,15.3,34.575,31.64582913,284.3806181,250,7.35,39.27750347,0,22.7196,75.8577,34.4,414,32,187,3,289
Year 1 Jun 25 18:00,150,317.5,15.7,33.35,18.37239845,288.3830313,250.25,7.575,39.00600345,0,22.7196,75.8577,33,325,36,320,3,173
Year 1 Jun 25 19:00,60.75,232.5,16.55,31.95,5.436392817,293.1781415,255.5,7.775,37.13246466,0,22.7196,75.8577,31.6,162,41,310,2,81
Year 1 Jun 25 20:00,0,0,17.25,30.4,-6.986819427,299.1004904,266.75,8.175,32.11517408,0,22.7196,75.8577,30,0,47,0,1,0
Year 1 Jun 25 21:00,0,0,18.075,29.175,-18.61302284,306.6607559,274.5,8.075,30.55054603,0,22.7196,75.8577,28.9,0,53,0,0,0
Year 1 Jun 25 22:00,0,0,18.675,28.15,-28.97058869,316.5835417,277.5,7.85,29.68060909,0,22.7196,75.8577,27.9,0,58,0,0,0
Year 1 Jun 25 23:00,0,0,18.95,27.525,-37.29564894,329.6942781,272,7.35,28.88682523,0,22.7196,75.8577,27.4,0,60,0,1,0
Year 1 Jun 26 00:00,0,0,18.775,26.875,-42.5073325,346.3022236,264.75,7.275,28.14434858,0,22.7196,75.8577,26.7,0,62,0,2,0
Year 1 Jun 26 01:00,0,0,18.55,26.325,-43.58721247,4.983717416,254.75,7.15,27.63377226,0,22.7196,75.8577,26.2,0,63,0,3,0
Year 1 Jun 26 02:00,0,0,18.425,25.6,-40.23081529,22.90890383,249,7.175,26.98428201,0,22.7196,75.8577,25.4,0,65,0,5,0
Year 1 Jun 26 03:00,0,0,18.775,25.025,-33.21980338,37.70695777,244.25,6.9,26.37486333,0,22.7196,75.8577,24.9,0,70,0,5,0
Year 1 Jun 26 04:00,0,0,19.275,24.45,-23.69862263,49.03741547,246,6.8,25.83435414,0,22.7196,75.8577,24.3,0,74,0,5,0
Year 1 Jun 26 05:00,0,0,19.925,23.925,-12.59212253,57.6075351,264.25,7.1,25.30894772,0,22.7196,75.8577,23.8,0,80,0,2,0
Year 1 Jun 26 06:00,1,0,20.325,23.8,-0.49672524,64.22496337,271.5,7.8,24.8167747,0,22.7196,75.8577,23.8,0,81,0,3,0
Year 1 Jun 26 07:00,24.5,87.5,20.4,24.55,12.22730371,69.50068889,271.25,8.525,25.97382787,0,22.7196,75.8577,24.8,4,77,0,6,4
Year 1 Jun 26 08:00,89.75,431,20.25,25.85,25.36098233,73.84611877,270.25,9.225,29.42838483,0,22.7196,75.8577,26.2,180,70,350,7,86
Year 1 Jun 26 09:00,90.25,758.5,19.75,27.7,38.76624798,77.52279885,264,9.325,31.59801663,0,22.7196,75.8577,28.2,424,60,674,7,101
Year 1 Jun 26 10:00,59.75,1022.5,19.3,29.475,52.35139277,80.66694202,257.5,9.15,33.42017046,0,22.7196,75.8577,29.9,737,53,1012,7,58
Year 1 Jun 26 11:00,74,1040.75,18.675,31.025,66.05088898,83.20794227,250,8.5,34.16788965,0,22.7196,75.8577,31.4,937,46,1054,6,65
Year 1 Jun 26 12:00,160,887.75,18.125,31.925,79.80623237,83.57843496,246.5,8.225,34.69390711,0,22.7196,75.8577,32.1,1038,43,1001,6,101
Year 1 Jun 26 13:00,308.5,603.5,17.625,32.55,86.09716796,310.998743,244.5,8.05,35.64911034,0,22.7196,75.8577,32.7,881,40,548,6,337
Year 1 Jun 26 14:00,210.25,787,17.125,32.925,72.56885904,276.0162183,247,8.225,36.37480463,0,22.7196,75.8577,33,986,38,770,6,223
Year 1 Jun 26 15:00,172,819.5,16.475,33.45,58.83444286,278.0325007,247.25,8.15,37.51163831,0,22.7196,75.8577,33.6,955,36,838,5,172
Year 1 Jun 26 16:00,157.25,776.25,16.075,33.75,45.18795994,280.9234197,248.5,8.025,38.89682827,0,22.7196,75.8577,33.8,800,35,764,5,172
Year 1 Jun 26 17:00,112.5,763.5,15.85,33.8,31.68796573,284.3390149,248.25,7.4,40.15634317,0,22.7196,75.8577,33.8,655,34,813,3,113
Year 1 Jun 26 18:00,102.5,547.75,16.175,33.125,18.4117704,288.3425173,248.75,6.9,40.02550998,0,22.7196,75.8577,32.9,404,37,615,3,111
