Date/Time,[1] Site Diffuse Solar Radiation Rate per Area  (W/m2),[1] Site Direct Solar Radiation Rate per Area  (W/m2),[1] Site Outdoor Air Dewpoint Temperature  (C),[1] Site Outdoor Air Drybulb Temperature  (C),[1] Site Solar Altitude Angle  (deg),[1] Site Solar Azimuth Angle  (deg),[1] Site Wind Direction  (deg),[1] Site Wind Speed  (m/s),[1] Surface Outside Face Temperature  (C),Orientation,Lats,Longs,[1] Dry Bulb Temperature (C),[1] Global Horizontal Radiation (Wh/m2),[1] Relative Humidity (),DNR,SC,hdi
Year 1 Mar 05 18:00,127.75,118.5,18.575,24.075,15.03285542,256.3993244,272.25,7.85,27.36428569,90,23.242,69.6669,23.7,225,72,0,1,159
Year 1 Mar 05 19:00,17,4.5,17.875,22.575,1.413200631,262.5516178,252.75,6.525,24.90218696,90,23.242,69.6669,22.2,36,76,0,1,34
Year 1 Mar 05 20:00,0,0,16.725,21.3,-12.39351671,268.2258263,247.5,5.3,23.74808663,90,23.242,69.6669,21,0,75,0,1,0
Year 1 Mar 05 21:00,0,0,16.1,20.625,-26.241459,274.1113367,236,4.775,23.06664784,90,23.242,69.6669,20.5,0,76,0,1,0
Year 1 Mar 05 22:00,0,0,15.7,20.35,-39.97019355,281.1176027,251.5,4.625,22.53668303,90,23.242,69.6669,20.3,0,75,0,1,0
Year 1 Mar 05 23:00,0,0,15.975,20.375,-53.28402469,291.0629534,267,4.9,21.99318104,90,23.242,69.6669,20.4,0,76,0,1,0
Year 1 Mar 06 00:00,0,0,16.025,20.25,-65.33259111,308.8414701,293.25,4.85,21.53613727,90,23.242,69.6669,20.2,0,77,0,1,0
Year 1 Mar 06 01:00,0,0,16.15,19.9,-72.63057017,13.56086201,280,4.5,21.11919323,90,23.242,69.6669,19.8,0,80,0,2,0
Year 1 Mar 06 02:00,0,0,15.975,19.2,-70.16856837,33.18873283,237,3.575,20.68939456,90,23.242,69.6669,19,0,82,0,2,0
Year 1 Mar 06 03:00,0,0,15.9,18.475,-59.97983278,60.03234213,145.5,2.7,20.21406974,90,23.242,69.6669,18.3,0,86,0,2,0
Year 1 Mar 06 04:00,0,0,15.825,17.85,-47.23522556,73.43551948,65,1.825,19.85109109,90,23.242,69.6669,17.7,0,89,0,1,0
Year 1 Mar 06 05:00,0,0,13.925,18.525,-33.70446386,81.80860212,321.5,4.15,19.61226207,90,23.242,69.6669,18.8,0,70,0,1,0
Year 1 Mar 06 06:00,0,0,12.025,18.8,-19.90626707,88.21367872,268.25,4.55,19.65795543,90,23.242,69.6669,18.8,0,63,0,3,0
Year 1 Mar 06 07:00,0,0,9.875,18.95,-6.057643015,93.93665279,293,4.1,19.41453375,90,23.242,69.6669,19,0,53,0,5,0
Year 1 Mar 06 08:00,14.25,74.75,7.8,19.6,7.69564991,99.74272199,312.25,3.925,21.85053659,90,23.242,69.6669,19.8,0,44,0,6,0
Year 1 Mar 06 09:00,60.5,411,5.725,20.625,21.19174466,106.3404876,186.75,4.05,31.62013282,90,23.242,69.6669,20.9,115,36,0,5,57
Year 1 Mar 06 10:00,79.5,757.25,4.675,21.95,34.17015287,114.7060033,182.25,4.4,39.41282896,90,23.242,69.6669,22.3,382,31,0,3,71
Year 1 Mar 06 11:00,95.5,845,4.2,23.125,46.10983321,126.5247569,325,4.875,40.53864952,90,23.242,69.6669,23.4,583,28,0,1,105
Year 1 Mar 06 12:00,150.75,835.75,4.325,24.15,55.85226151,144.687012,204,5.3,37.80030166,90,23.242,69.6669,24.4,834,27,0,0,67
Year 1 Mar 06 13:00,350.5,408,4.475,24.7,61.08389626,171.5745684,105.5,5.4,32.74999634,90,23.242,69.6669,24.8,652,27,0,0,402
Year 1 Mar 06 14:00,201,729.5,4.575,24.95,59.47154318,201.5585062,38.5,5.1,30.71436767,90,23.242,69.6669,25,854,27,0,1,196
Year 1 Mar 06 15:00,223.5,634.5,4.45,24.925,51.84672992,224.5198414,93.5,4.475,30.30567851,90,23.242,69.6669,24.9,792,27,0,1,216
Year 1 Mar 06 16:00,246.5,461.75,5.075,24.9,40.9041397,239.3891692,191.25,3.7,30.181397,90,23.242,69.6669,24.9,632,28,0,2,246
Year 1 Mar 06 17:00,225.5,307.5,6.125,24.825,28.40305368,249.3716108,144,2.975,29.91385121,90,23.242,69.6669,24.8,448,31,0,1,248
Year 1 Mar 06 18:00,135,218,8.125,24.725,15.14763721,256.7862276,14.25,2.575,28.43858456,90,23.242,69.6669,24.7,265,36,0,1,158
Year 1 Mar 06 19:00,33,58,9.975,24.175,1.511535272,262.9299708,19.75,2.65,26.53184573,90,23.242,69.6669,24,90,42,0,0,66
Year 1 Mar 06 20:00,0,0,11.225,23.25,-12.30224406,268.6149201,314.75,3.15,25.1065505,90,23.242,69.6669,23,0,48,0,0,0
Year 1 Mar 06 21:00,0,0,11.575,21.875,-26.14781088,274.5345583,281.75,4.05,24.04744927,90,23.242,69.6669,21.5,0,53,0,0,0
Year 1 Mar 06 22:00,0,0,11.45,20.45,-39.86158509,281.6080809,252.5,5.05,22.68651538,90,23.242,69.6669,20.1,0,58,0,0,0
Year 1 Mar 06 23:00,0,0,11.325,19.275,-53.13853681,291.6707277,280.75,5.9,21.51005103,90,23.242,69.6669,19,0,61,0,0,0
Year 1 Mar 07 00:00,0,0,11.75,18.7,-65.10524164,309.5967825,287.75,6.55,20.75298633,90,23.242,69.6669,18.6,0,65,0,1,0
Year 1 Mar 07 01:00,0,0,12.65,18.6,-72.27139747,13.11817008,313.75,6.775,20.28802223,90,23.242,69.6669,18.6,0,69,0,1,0
Year 1 Mar 07 02:00,0,0,13.875,18.9,-69.80892049,32.77868011,300.5,6.725,20.07326458,90,23.242,69.6669,19,0,74,0,1,0
Year 1 Mar 07 03:00,0,0,14.5,19.075,-59.70237735,59.4817556,308.75,6.4,20.00772204,90,23.242,69.6669,19.1,0,76,0,0,0
Year 1 Mar 07 04:00,0,0,14.6,19.1,-47.00629733,72.9665391,285.5,5.85,19.88650095,90,23.242,69.6669,19.1,0,76,0,1,0
Year 1 Mar 07 05:00,0,0,9.95,14.375,-33.49822131,81.40753908,288.75,2.7,18.04262029,90,23.242,69.6669,12.8,0,75,0,0,0
Year 1 Mar 07 06:00,0,0,8.325,13.25,-19.70828958,87.85359274,228.5,1.175,17.23230272,90,23.242,69.6669,13.4,0,71,0,0,0
Year 1 Mar 07 07:00,0,0,8.525,13.85,-5.858380883,93.59692982,108,1.15,17.11215314,90,23.242,69.6669,14,0,70,0,0,0
Year 1 Mar 07 08:00,16.25,48,9.725,15.5,7.904291723,99.40751188,36,2.4,19.08311581,90,23.242,69.6669,16,0,68,0,0,0
Year 1 Mar 07 09:00,69.5,315.75,10.625,16.825,21.41850068,105.9970632,5.75,3.85,27.28540377,90,23.242,69.6669,17.1,102,66,0,0,65
Year 1 Mar 07 10:00,117.25,610.25,11.175,18.675,34.42619641,114.3467319,22.5,5.325,34.20307847,90,23.242,69.6669,19.2,371,60,0,0,83
Year 1 Mar 07 11:00,183,535.75,10.55,20.4,46.40986147,126.1614363,75,6,33.28970559,90,23.242,69.6669,20.8,451,51,0,0,220
Year 1 Mar 07 12:00,73.5,1008.25,9.475,23.05,56.20845965,144.4038893,188.25,6.25,34.98793371,90,23.242,69.6669,23.8,832,39,0,0,72
Year 1 Mar 07 13:00,70.25,1043,7.325,25.3,61.47255179,171.5855248,270.5,6.075,31.38155328,90,23.242,69.6669,25.8,950,30,0,0,78
Year 1 Mar 07 14:00,65,1054,5.65,27.45,59.81346489,201.9245247,161.75,6.075,30.13928524,90,23.242,69.6669,28,1042,24,0,0,47
Year 1 Mar 07 15:00,157.5,796.25,4.025,28,52.10172169,225.000827,348.75,6.175,30.48585228,90,23.242,69.6669,28,901,21,0,0,119
Year 1 Mar 07 16:00,256.5,436.25,4.125,27.925,41.08988223,239.8467604,182.25,6.575,30.81540133,90,23.242,69.6669,27.9,607,22,0,0,273
