Date/Time,[1] Site Diffuse Solar Radiation Rate per Area  (W/m2),[1] Site Direct Solar Radiation Rate per Area  (W/m2),[1] Site Outdoor Air Dewpoint Temperature  (C),[1] Site Outdoor Air Drybulb Temperature  (C),[1] Site Solar Altitude Angle  (deg),[1] Site Solar Azimuth Angle  (deg),[1] Site Wind Direction  (deg),[1] Site Wind Speed  (m/s),[1] Surface Outside Face Temperature  (C),Orientation,Lats,Longs,[1] Dry Bulb Temperature (C),[1] Global Horizontal Radiation (Wh/m2),[1] Relative Humidity (),DNR,SC,hdi
Year 1 Apr 26 21:00,0,0,1.85,29.425,-25.25560003,298.3119021,257,5.225,31.56953659,180,22.7196,75.8577,29.1,0,17,0,0,0
Year 1 Apr 26 22:00,0,0,2.6,28.65,-36.79513227,308.8031439,256.25,5.6,30.70556267,180,22.7196,75.8577,28.5,0,19,0,0,0
Year 1 Apr 26 23:00,0,0,3.1,28.425,-46.40083656,323.5946264,266.25,5.175,29.92007328,180,22.7196,75.8577,28.4,0,20,0,0,0
Year 1 Apr 27 00:00,0,0,3.65,28.025,-52.55030999,344.0476785,258.75,4.775,29.42768789,180,22.7196,75.8577,27.9,0,21,0,0,0
Year 1 Apr 27 01:00,0,0,3.125,27.3,-53.16442382,8.260745403,258.75,4.025,28.86790829,180,22.7196,75.8577,27.1,0,21,0,0,0
Year 1 Apr 27 02:00,0,0,2.15,26.125,-48.56360437,30.22588908,251,3.875,27.95239148,180,22.7196,75.8577,25.8,0,21,0,0,0
Year 1 Apr 27 03:00,0,0,0.775,24.975,-39.92061041,46.70741967,260,3.9,27.14495444,180,22.7196,75.8577,24.7,0,20,0,0,0
Year 1 Apr 27 04:00,0,0,0.625,24.175,-28.92276953,58.37561891,261,4.65,26.27358792,180,22.7196,75.8577,24,0,21,0,0,0
Year 1 Apr 27 05:00,0,0,5.725,24.6,-16.6316543,66.91541362,267.5,5.425,26.03639879,180,22.7196,75.8577,24.8,0,33,0,0,0
Year 1 Apr 27 06:00,0,0,8.9,25.175,-3.612414372,73.60017782,268.5,5.675,26.23643461,180,22.7196,75.8577,25.3,0,37,0,0,0
