Date/Time,Lats,Longs,Orientation,[1] Dew Point Temperature (C),[1] Diffuse Horizontal Radiation (Wh/m2),[1] Direct Normal Radiation (Wh/m2),[1] Dry Bulb Temperature (C),[1] Relative Humidity (),[1] Total Sky Cover (tenths),[1] Wind Direction (°),[1] Wind Speed (m/s),BLOCK1:ZONE1_WALL_3_0_0:Surface Outside Face Temperature [C](Hourly)
Year 1 Feb 10 16:00,23.39,87.51,90,20.2,109,13,21.6,92,8.3,181,1.1,26.962963538578884
Year 1 Feb 10 17:00,23.39,87.51,90,20.1,40,6,21.1,94,8.9,187,0.9,25.415723965330608
Year 1 Feb 10 18:00,23.39,87.51,90,19.9,4,1,20.6,96,9.4,176,0.6,24.310894509387717
Year 1 Feb 10 19:00,23.39,87.51,90,20,0,0,20.5,97,10,155,0.7,23.784862533769667
Year 1 Feb 10 20:00,23.39,87.51,90,19.9,0,0,20.4,97,9.3,161,0.7,23.350272160409298
Year 1 Feb 10 21:00,23.39,87.51,90,19.8,0,0,20.3,97,8.7,169,0.6,22.97892332931382
Year 1 Feb 10 22:00,23.39,87.51,90,19.8,0,0,20.3,97,8,181,0.7,22.64673518860588
Year 1 Feb 10 23:00,23.39,87.51,90,19.8,0,0,20.3,97,8.7,183,0.8,22.428145171546374
Year 1 Feb 11 00:00,23.39,87.51,90,20,0,0,20.5,97,9.3,190,0.9,22.32872758519155
Year 1 Feb 11 01:00,23.39,87.51,90,19.9,0,0,20.6,96,0,198,0.9,21.524291543625986
Year 1 Feb 11 02:00,23.39,87.51,90,20.2,0,0,20.7,97,3.3,198,0.8,21.044951555281707
Year 1 Feb 11 03:00,23.39,87.51,90,20,0,0,20.5,97,6.7,198,0.7,20.83182219269177
Year 1 Feb 11 04:00,23.39,87.51,90,19.7,0,0,20,98,10,195,0.6,20.601865250298027
Year 1 Feb 11 05:00,23.39,87.51,90,19.5,0,0,19.7,99,6.7,193,0.5,20.317715780937144
Year 1 Feb 11 06:00,23.39,87.51,90,19.5,0,0,19.7,99,3.5,199,0.4,20.062982084913029
Year 1 Feb 11 07:00,23.39,87.51,90,20,21,19,20,100,0.2,220,0.4,23.637126058704877
Year 1 Feb 11 08:00,23.39,87.51,90,20.5,122,193,20.5,100,2,244,0.4,31.110176352058099
Year 1 Feb 11 09:00,23.39,87.51,90,20.7,214,270,20.9,99,3.9,256,0.7,34.99568450451285
Year 1 Feb 11 10:00,23.39,87.51,90,20.9,294,242,21.2,98,5.7,267,0.7,35.11350257647716
