Date/Time,[1] Site Diffuse Solar Radiation Rate per Area  (W/m2),[1] Site Direct Solar Radiation Rate per Area  (W/m2),[1] Site Outdoor Air Dewpoint Temperature  (C),[1] Site Outdoor Air Drybulb Temperature  (C),[1] Site Solar Altitude Angle  (deg),[1] Site Solar Azimuth Angle  (deg),[1] Site Wind Direction  (deg),[1] Site Wind Speed  (m/s),[1] Surface Outside Face Temperature  (C),Orientation,Lats,Longs
Year 1 Nov 08 16:00,121,556.25,11.975,33.775,26.82772143,235.9266083,0,2.225,27.32084854,0,23.0225,72.5714
Year 1 Nov 08 17:00,93.75,244.5,13.6,33.4,14.84753059,244.4880242,0,1.65,27.40992591,0,23.0225,72.5714
Year 1 Nov 08 18:00,15,0,15.05,33.075,2.068379541,251.195525,330,1.125,27.52241649,0,23.0225,72.5714
Year 1 Nov 08 19:00,0,0,15.775,30.375,-11.19283337,256.8153629,320,0.775,27.65039275,0,23.0225,72.5714
Year 1 Nov 08 20:00,0,0,16.2,26.95,-24.74927409,261.9086934,320,0.4,27.77937985,0,23.0225,72.5714
Year 1 Nov 08 21:00,0,0,16.6,23.475,-38.47669799,267.013347,170,0.075,27.89586146,0,23.0225,72.5714
Year 1 Nov 08 22:00,0,0,16.325,22.3,-52.26631135,272.961516,0,0.15,27.99242703,0,23.0225,72.5714
Year 1 Nov 08 23:00,0,0,15.825,21.825,-65.93769366,282.0672194,0,0.275,28.06708154,0,23.0225,72.5714
Year 1 Nov 09 00:00,0,0,15.325,21.4,-78.56603595,307.785074,0,0.45,28.11758718,0,23.0225,72.5714
Year 1 Nov 09 01:00,0,0,14.75,21,-81.3222484,34.48416108,0,0.65,28.14153933,0,23.0225,72.5714
Year 1 Nov 09 02:00,0,0,14.15,20.525,-69.74558784,74.67413822,0,0.775,28.13968799,0,23.0225,72.5714
Year 1 Nov 09 03:00,0,0,13.55,20.1,-56.15747686,85.52532099,330,0.95,28.11334017,0,23.0225,72.5714
Year 1 Nov 09 04:00,0,0,13.175,19.175,-42.37196302,91.85790036,320,1,28.06447891,0,23.0225,72.5714
Year 1 Nov 09 05:00,0,0,12.875,18.15,-28.62190025,97.02343661,320,1,27.99348097,0,23.0225,72.5714
Year 1 Nov 09 06:00,0,0,12.575,17.075,-15.01884512,102.0285331,170,1,27.90082256,0,23.0225,72.5714
Year 1 Nov 09 07:00,13,15,12.575,18.15,-1.677422498,107.4349618,0,1,27.78819802,0,23.0225,72.5714
Year 1 Nov 09 08:00,74.25,130.25,12.675,19.95,11.23749749,113.7708675,0,1,27.6645602,0,23.0225,72.5714
Year 1 Nov 09 09:00,142,417.5,12.775,21.75,23.45297867,121.7230872,0,1,27.53720546,0,23.0225,72.5714
Year 1 Nov 09 10:00,136,679,12.95,24.375,34.48514182,132.2908916,0,1.15,27.40988833,0,23.0225,72.5714
Year 1 Nov 09 11:00,137.5,787.25,13.15,27.35,43.46918492,146.7793634,0,1.275,27.2947064,0,23.0225,72.5714
Year 1 Nov 09 12:00,137.75,833,13.35,30.275,49.03582292,165.9766064,37.5,1.45,27.20354139,0,23.0225,72.5714
Year 1 Nov 09 13:00,128.5,850,13.25,31.75,49.76581092,188.01532,50,1.35,27.14398862,0,23.0225,72.5714
Year 1 Nov 09 14:00,137.25,805.5,13.05,32.75,45.42621692,208.3510373,50,1.225,27.11632011,0,23.0225,72.5714
Year 1 Nov 09 15:00,132.5,724,12.85,33.75,37.23480909,224.1358224,12.5,1.05,27.12260308,0,23.0225,72.5714
Year 1 Nov 09 16:00,129,539.5,12.725,33.55,26.66354687,235.6565518,0,1,27.16474523,0,23.0225,72.5714
Year 1 Nov 09 17:00,92.75,246,12.625,32.95,14.71553877,244.2187064,0,1,27.23785545,0,23.0225,72.5714
Year 1 Nov 09 18:00,14.5,0,12.45,32.35,1.960895367,250.9237964,0,1,27.3346312,0,23.0225,72.5714
Year 1 Nov 09 19:00,0,0,13.3,29.725,-11.28192324,256.5316542,0,1.15,27.4478931,0,23.0225,72.5714
Year 1 Nov 09 20:00,0,0,14.5,26.5,-24.82514977,261.5976491,0,1.275,27.56314037,0,23.0225,72.5714
Year 1 Nov 09 21:00,0,0,15.55,23.225,-38.54468676,266.6493153,67.5,1.45,27.66716529,0,23.0225,72.5714
Year 1 Nov 09 22:00,0,0,15.8,21.875,-52.33408075,272.4939169,90,1.125,27.75276452,0,23.0225,72.5714
Year 1 Nov 09 23:00,0,0,15.8,21.25,-66.02272686,281.3694305,90,0.625,27.81595477,0,23.0225,72.5714
Year 1 Nov 10 00:00,0,0,15.725,20.575,-78.73948048,306.5933279,22.5,0.125,27.85446053,0,23.0225,72.5714
Year 1 Nov 10 01:00,0,0,15.175,19.875,-81.55902796,35.28156911,0,0.225,27.86589719,0,23.0225,72.5714
Year 1 Nov 10 02:00,0,0,14.4,19.25,-69.87098745,75.4398657,0,0.6,27.85077228,0,23.0225,72.5714
Year 1 Nov 10 03:00,0,0,13.6,18.575,-56.25859301,86.01340661,330,0.925,27.81090167,0,23.0225,72.5714
Year 1 Nov 10 04:00,0,0,13.1,20.275,-42.47097902,92.22497305,320,0.775,27.74786427,0,23.0225,72.5714
Year 1 Nov 10 05:00,0,0,12.625,22.85,-28.72722523,97.32893355,320,0.4,27.67172563,0,23.0225,72.5714
Year 1 Nov 10 06:00,0,0,12.125,25.375,-15.13566904,102.3008513,170,0.075,27.59280108,0,23.0225,72.5714
Year 1 Nov 10 07:00,12.75,13,11.55,24.875,-1.810354819,107.6900961,0,0,27.51192602,0,23.0225,72.5714
Year 1 Nov 10 08:00,73.75,125.5,10.875,23.45,11.08334282,114.0181803,0,0,27.42413526,0,23.0225,72.5714
Year 1 Nov 10 09:00,149,406.5,10.1,21.975,23.27144984,121.9656374,0,0,27.32584793,0,23.0225,72.5714
Year 1 Nov 10 10:00,163,634,9.225,24,34.26946767,132.5201899,0,0.225,27.22286783,0,23.0225,72.5714
