1,"eplusout.eso"

"Date/Time","[1] Site Diffuse Solar Radiation Rate per Area  (W/m2)","[1] Site Direct Solar Radiation Rate per Area  (W/m2)","[1] Site Outdoor Air Drybulb Temperature  (C)","[1] Surface Inside Face Temperature  (C)","[1] Surface Outside Face Temperature  (C)","[1] Surface Inside Face Conduction Heat Transfer Rate  (W)"
,"Environment","Environment","Environment","BLOCK1:ZONE1_WALL_3_0_0","BLOCK1:ZONE1_WALL_3_0_0","BLOCK1:ZONE1_WALL_3_0_0"
"Year 1 Jan 10 16:00","101.75","651.75","26.625","19.6331575957676","25.9706234840069","27.4109992415935"
"Year 1 Jan 10 17:00","83.25","384","26.05","20.0569637554101","25.1704773434392","54.745154335067"
"Year 1 Jan 10 18:00","36","65.25","25.525","20.4213223558848","23.8785398714139","77.7482834734685"
"Year 1 Jan 10 19:00","0","0","24.125","20.6886563957893","22.533637940783","92.820792147506"
"Year 1 Jan 10 20:00","0","0","22.5","20.840703391464","21.5172618768778","99.5481915253101"
"Year 1 Jan 10 21:00","0","0","20.825","20.8886111936499","20.5131392719522","98.0576749231391"
"Year 1 Jan 10 22:00","0","0","19.575","20.8522508243724","19.650909612875","90.5104177690239"
"Year 1 Jan 10 23:00","0","0","18.4","20.7520487981324","18.8581206031664","78.2767346349881"
"Year 1 Jan 11 00:00","0","0","17.275","20.6011912025493","18.0969995785016","63.9621136872487"
"Year 1 Jan 11 01:00","0","0","16.4","20.4132958128136","17.4216136700458","48.0179133081867"
"Year 1 Jan 11 02:00","0","0","15.675","20.1996307914058","16.8201738942228","30.8687107323629"
"Year 1 Jan 11 03:00","0","0","14.9","19.9685304542509","16.2225341590545","13.4235314585876"
"Year 1 Jan 11 04:00","0","0","14.1","19.7237512040634","15.6291065356646","-3.35081403619162"
"Year 1 Jan 11 05:00","0","0","13.375","19.4680212356883","15.0615782501111","-19.4444003485218"
"Year 1 Jan 11 06:00","0","0","12.6","19.2030615822713","14.4795853104969","-34.8234557331395"
"Year 1 Jan 11 07:00","0","0","12.475","18.9289182822912","14.0672272810987","-49.2397182308502"
"Year 1 Jan 11 08:00","33.5","54.5","12.65","18.6529721940582","14.2923503065813","-63.7110168994927"
"Year 1 Jan 11 09:00","110.25","290.75","12.775","18.3942766853389","15.5858140523956","-77.3465691676993"
"Year 1 Jan 11 10:00","140.75","568.75","15.425","18.1921649905","17.7458804214356","-86.7568173835001"
"Year 1 Jan 11 11:00","120.75","769.75","19","18.1092183474785","19.9842178036412","-91.6595151011088"
