1,"eplusout.eso"

"Date/Time","[1] Site Diffuse Solar Radiation Rate per Area  (W/m2)","[1] Site Direct Solar Radiation Rate per Area  (W/m2)","[1] Site Outdoor Air Drybulb Temperature  (C)","[1] Surface Inside Face Temperature  (C)","[1] Surface Outside Face Convection Heat Transfer Coefficient  (W/m2-K)","[1] Surface Outside Face Temperature  (C)","[1] Surface Inside Face Conduction Heat Transfer Rate  (W)"
,"Environment","Environment","Environment","BLOCK1:ZONE1_WALL_3_0_0","BLOCK1:ZONE1_WALL_3_0_0","BLOCK1:ZONE1_WALL_3_0_0","BLOCK1:ZONE1_WALL_3_0_0"
"Year 1 Jan 06 07:00","0","0","10.35","17.2394239628036","1.70984381612712","12.7249993481325","-44.6334563769827"
"Year 1 Jan 06 08:00","12","80.25","11.625","16.9645892278161","1.39429261790866","13.190314419231","-59.1198312728975"
"Year 1 Jan 06 09:00","64","343","13.95","16.729452057141","2.23619542748215","14.9242236009639","-73.6279982362949"
"Year 1 Jan 06 10:00","108.25","492.25","16.475","16.5768643056025","3.90092804177561","17.310740046464","-83.5153461921611"
"Year 1 Jan 06 11:00","94","778.75","18.825","16.5507985212573","6.10592909241786","19.4489328063143","-83.8897333071519"
"Year 1 Jan 06 12:00","97.5","857.5","20.3","16.6689004173769","6.7807286775872","20.9375157781107","-73.3575536153816"
"Year 1 Jan 06 13:00","151.5","713","21.2","16.9061671075957","7.17848499928094","22.1849776764797","-53.1330904175471"
"Year 1 Jan 06 14:00","200","548.25","21.55","17.2233815894408","6.79568933090865","23.1578265379717","-27.2253298673706"
"Year 1 Jan 06 15:00","197.75","461.25","21.9","17.5877269884408","7.58501814143344","23.4267068789033","1.01198790317915"
"Year 1 Jan 06 16:00","180.5","337","21.85","17.9698170089739","7.89979503336581","23.3204030343264","27.6597239471601"
"Year 1 Jan 06 17:00","105","277.75","21.5","18.3322398176323","8.72318530760759","22.1618136622472","50.7857802301957"
"Year 1 Jan 06 18:00","27","32","20.275","18.6240566505669","8.04849208668299","20.4196878709773","70.122878140162"
"Year 1 Jan 06 19:00","0","0","18.55","18.8050987070969","7.73243720464211","18.8082442739246","81.3254337976532"
"Year 1 Jan 06 20:00","0","0","16.375","18.8564974888738","6.8758963616483","17.4439293123153","82.8902198305324"
"Year 1 Jan 06 21:00","0","0","14.6","18.7880530713406","7.39151663857212","16.2228733764007","76.6153300499841"
"Year 1 Jan 06 22:00","0","0","13.3","18.6278887001463","7.49311619263559","15.2828222901103","63.477826461489"
"Year 1 Jan 06 23:00","0","0","13","18.4063578330761","7.61705802088522","14.5539963839083","45.0196446661612"
"Year 1 Jan 07 00:00","0","0","13.15","18.1513023899636","5.91911727145175","14.1819514054455","23.488837855342"
"Year 1 Jan 07 01:00","0","0","13.5","17.881596439703","4.00309923798434","14.1741243545798","2.29982394245107"
"Year 1 Jan 07 02:00","0","0","13.45","17.6191838154941","1.65036432926263","14.2144685419704","-16.4607210444376"
"Year 1 Jan 07 03:00","0","0","13.025","17.3777774418868","1.35933134058733","13.9724433730246","-31.0006336061739"
"Year 1 Jan 07 04:00","0","0","11.925","17.1576822810789","1.60405871610075","13.5276682877519","-41.8765485373489"
"Year 1 Jan 07 05:00","0","0","10.7","16.947381485243","4.22121992886803","12.5881133464284","-50.9728576627837"
"Year 1 Jan 07 06:00","0","0","9.95","16.728453810424","4.96791740235565","12.1070666703578","-60.0475323139906"
"Year 1 Jan 07 07:00","0","0","10.25","16.4914673426623","4.76268373641612","11.8514263607966","-70.755703708383"
"Year 1 Jan 07 08:00","13.5","52","11.3","16.2530840835464","4.50163333414638","12.3362056936124","-82.8675404756937"
"Year 1 Jan 07 09:00","52.75","363.75","14.075","16.039086000779","5.0585549852254","14.3860680205188","-94.5865246471949"
"Year 1 Jan 07 10:00","40.25","898.25","17.525","15.9109263280098","6.11950695019313","16.9560508214084","-103.188515619168"
"Year 1 Jan 07 11:00","13.5","1100","21.4","15.9226265406252","7.32057280636423","19.4530254102767","-102.488446884533"
"Year 1 Jan 07 12:00","16","1100","24.125","16.0981631759064","7.69856684461542","21.6710232425023","-91.6324582941783"
"Year 1 Jan 07 13:00","47.5","1039.75","25.9","16.4097047023357","8.03478400155928","23.6986602059573","-67.1491107543887"
"Year 1 Jan 07 14:00","115.5","815.75","26.15","16.8301780784804","8.16452181133226","25.0785061509977","-33.9575161654284"
"Year 1 Jan 07 15:00","156.75","536","25.95","17.3238163331384","8.70403873059701","25.4943099810783","4.55301743854614"
"Year 1 Jan 07 16:00","181","119.75","25","17.8472228667315","8.6751895497476","25.2227266090179","41.7519478835355"
"Year 1 Jan 07 17:00","113.5","169.25","24.025","18.3455235066787","7.91872436341393","24.0133638358743","73.7932428673313"
"Year 1 Jan 07 18:00","18.5","7","22.525","18.7519027807315","6.99443427918748","22.0212958726176","101.034569629357"
"Year 1 Jan 07 19:00","0","0","21.125","19.025870076594","5.7748048837446","20.8835050776769","117.132990674531"
"Year 1 Jan 07 20:00","0","0","19.45","19.1627698544523","4.50450925323454","19.5076947512037","121.186080884569"
"Year 1 Jan 07 21:00","0","0","18.175","19.1845572810513","3.7281508588658","18.4072953850525","116.752832881812"
"Year 1 Jan 07 22:00","0","0","16.625","19.114679316792","3.60484988014612","17.5915762929248","105.034013129238"
"Year 1 Jan 07 23:00","0","0","15.3","18.9736232468752","4.10918352149011","16.8667642364834","90.2244646463094"
"Year 1 Jan 08 00:00","0","0","13.575","18.7868708554734","5.12158771639021","15.6732022664085","73.3770188320598"
"Year 1 Jan 08 01:00","0","0","12.35","18.5585498644963","5.99146840128338","14.5875183714816","56.0123231479612"
"Year 1 Jan 08 02:00","0","0","11.275","18.2933754133409","6.4789796835412","13.7908826292428","35.2399053925501"
