1,"Building 1.eso"

"Date/Time","[1] Surface Outside Face Temperature  (C)","[1] Site Direct Solar Radiation Rate per Area  (W/m2)","[1] Site Diffuse Solar Radiation Rate per Area  (W/m2)","[1] Surface Inside Face Conduction Heat Transfer Rate  (W)","[1] Surface Inside Face Temperature  (C)","[1] Site Outdoor Air Drybulb Temperature  (C)"
,"BLOCK1:ZONE1_WALL_3_0_0","Environment","Environment","BLOCK1:ZONE1_WALL_3_0_0","BLOCK1:ZONE1_WALL_3_0_0","Environment"
"Year 1 Jan 06 09:00","17.3525005552235","296.25","107.75","-92.8188675058474","20.9058951397113","13.275"
"Year 1 Jan 06 10:00","19.2587054430731","582.75","136.5","-105.277391135573","20.6480754605038","15.725"
"Year 1 Jan 06 11:00","20.97699687138","755","132","-110.972183373746","20.5160711841063","18.75"
"Year 1 Jan 06 12:00","22.853832241397","842.75","120.75","-106.774317260704","20.5177155338274","21.825"
"Year 1 Jan 06 13:00","24.7861734289757","853.5","122","-93.6364687029819","20.6428883288557","23.2"
"Year 1 Jan 06 14:00","30.8777777890178","747.75","158","-70.5623789195633","20.8733879969861","24"
"Year 1 Jan 06 15:00","37.0343913236683","577.25","185.75","-35.0190464282873","21.2739214336217","24.8"
"Year 1 Jan 06 16:00","40.3432362788627","478.25","149","19.4557011788507","21.9494134453123","24.775"
"Year 1 Jan 06 17:00","38.0316322174286","284.75","95.25","91.410295432859","22.8759472580046","24.4"
"Year 1 Jan 06 18:00","30.6450059622731","46.5","31.5","169.786259091865","23.829243270062","24.075"
"Year 1 Jan 06 19:00","26.2393658162212","0","0","220.838171228237","24.5343150846673","22.95"
"Year 1 Jan 06 20:00","24.3964198949897","0","0","234.743127248608","24.851525971646","21.475"
"Year 1 Jan 06 21:00","23.0217513547961","0","0","220.180018606119","24.8612334970028","20.05"
"Year 1 Jan 06 22:00","21.8896296610589","0","0","191.674419510126","24.6890356473235","18.65"
"Year 1 Jan 06 23:00","20.8204030314866","0","0","158.640911218316","24.4169032661697","17.175"
"Year 1 Jan 07 00:00","19.788828039432","0","0","124.825641339325","24.0905477574014","15.75"
"Year 1 Jan 07 01:00","19.0121370961285","0","0","91.6215770634812","23.7328456903313","15.175"
"Year 1 Jan 07 02:00","18.3344792446639","0","0","58.1001093271434","23.3657444557654","14.8"
"Year 1 Jan 07 03:00","17.6872657510461","0","0","27.5058842899345","22.994965876685","14.475"
"Year 1 Jan 07 04:00","17.0977022280489","0","0","-0.343243222394548","22.6275264052617","14.025"
"Year 1 Jan 07 05:00","16.529907571181","0","0","-25.0667209701478","22.2641788715281","13.45"
"Year 1 Jan 07 06:00","15.993378401031","0","0","-46.9309371652417","21.9055092185507","12.925"
"Year 1 Jan 07 07:00","15.7864571996184","0","0","-65.9058898765577","21.5502422807938","13.1"
"Year 1 Jan 07 08:00","16.2571828548463","49","33.75","-84.4980277869664","21.2128711922516","13.5"
