1,"eplusout.eso"

"Date/Time","[1] Site Diffuse Solar Radiation Rate per Area  (W/m2)","[1] Site Direct Solar Radiation Rate per Area  (W/m2)","[1] Site Outdoor Air Drybulb Temperature  (C)","[1] Surface Inside Face Temperature  (C)","[1] Surface Outside Face Temperature  (C)"
,"Environment","Environment","Environment","BLOCK1:ZONE1_WALL_3_0_0","BLOCK1:ZONE1_WALL_3_0_0"
"Year 1 Jul 27 10:00","382.5","112.25","27.675","28.2749585180657","34.1980654510435"
"Year 1 Jul 27 11:00","439.25","114.25","28.175","28.5180233699554","35.6139595597975"
"Year 1 Jul 27 12:00","449.75","138.75","28.675","28.8657325283035","36.5563596909818"
"Year 1 Jul 27 13:00","462","223.25","29.25","29.2712180994478","37.52736933556"
"Year 1 Jul 27 14:00","423.75","305.75","29.85","29.7019137367793","38.19633269566"
"Year 1 Jul 27 15:00","371","339","30.45","30.1365986623532","38.5678089399448"
"Year 1 Jul 27 16:00","329.25","266.5","30.975","30.5607222786693","38.7382639659412"
"Year 1 Jul 27 17:00","263","156.5","31.4","30.9589010602757","38.3532181952145"
"Year 1 Jul 27 18:00","143.25","77","31.875","31.3162388206218","36.7178685847336"
"Year 1 Jul 27 19:00","48","3.75","31.325","31.5971698823339","34.0664676144486"
"Year 1 Jul 27 20:00","0","0","30.5","31.7460103622169","32.1042642635165"
"Year 1 Jul 27 21:00","0","0","29.625","31.7502594567817","31.0584292818009"
"Year 1 Jul 27 22:00","0","0","29.175","31.642436056524","30.2928122971395"
"Year 1 Jul 27 23:00","0","0","28.8","31.4718113801356","29.681517054484"
"Year 1 Jul 28 00:00","0","0","28.475","31.2696337528149","29.1344123491806"
"Year 1 Jul 28 01:00","0","0","28.1","31.0542042932861","28.674916901659"
"Year 1 Jul 28 02:00","0","0","27.7","30.8351028267088","28.2557167139808"
"Year 1 Jul 28 03:00","0","0","27.3","30.6176077153758","27.8498758361282"
"Year 1 Jul 28 04:00","0","0","27.125","30.403524812219","27.5989015092596"
"Year 1 Jul 28 05:00","0","0","27.1","30.197964541661","27.4307423788082"
"Year 1 Jul 28 06:00","0","0","27.025","30.0041210233033","27.2635713422785"
"Year 1 Jul 28 07:00","35","14.25","27.225","29.8236993922542","27.9560938330551"
"Year 1 Jul 28 08:00","131","81.25","27.6","29.6702293627042","30.3128499398464"
"Year 1 Jul 28 09:00","257.25","145.25","27.925","29.5987412588572","32.7945038457685"
"Year 1 Jul 28 10:00","383.75","117.5","28.525","29.6600050327798","34.680676051378"
"Year 1 Jul 28 11:00","437.75","111","29.15","29.8593403779054","35.8966219214455"
"Year 1 Jul 28 12:00","448.5","115","29.825","30.1578284646143","36.9055220658996"
"Year 1 Jul 28 13:00","493","133.75","30.45","30.5125394837559","38.0598095401215"
"Year 1 Jul 28 14:00","540","105.25","30.975","30.9014648365318","39.5622068579596"
"Year 1 Jul 28 15:00","487.5","126","31.55","31.3185143339681","39.9974190416429"
"Year 1 Jul 28 16:00","393","136","32.15","31.753494695793","39.9386490058903"
"Year 1 Jul 28 17:00","277","113.75","32.675","32.1707489763182","39.3684310871008"
"Year 1 Jul 28 18:00","142.5","69","33.25","32.5397148437483","37.773875816374"
"Year 1 Jul 28 19:00","41","0","32.725","32.8242672339098","35.1830899261975"
"Year 1 Jul 28 20:00","0","0","31.9","32.9745519368424","33.5170984971139"
"Year 1 Jul 28 21:00","0","0","31.025","32.9856762829074","32.6846438635591"
"Year 1 Jul 28 22:00","0","0","30.35","32.8950582983975","31.8913323747169"
"Year 1 Jul 28 23:00","0","0","29.75","32.7471210932844","31.0771542962389"
"Year 1 Jul 29 00:00","0","0","29.15","32.563848461083","30.28933194116"
"Year 1 Jul 29 01:00","0","0","28.625","32.3548327402928","29.6623507767697"
"Year 1 Jul 29 02:00","0","0","28.05","32.1290735047255","29.0334087378396"
"Year 1 Jul 29 03:00","0","0","27.525","31.891214085922","28.4704573492706"
"Year 1 Jul 29 04:00","0","0","27.175","31.6478126053168","28.0721743732087"
"Year 1 Jul 29 05:00","0","0","26.95","31.4041762916582","27.858471818833"
"Year 1 Jul 29 06:00","0","0","26.675","31.167234002798","27.6481203474845"
"Year 1 Jul 29 07:00","30","0","26.675","30.9424580593472","28.1112281596581"
"Year 1 Jul 29 08:00","81.75","0","26.7","30.7422679142746","29.2659380473229"
"Year 1 Jul 29 09:00","86.5","0","26.775","30.6002630161208","29.6450588703251"
"Year 1 Jul 29 10:00","130.5","0.5","27.175","30.5210739482487","30.7680053488518"
"Year 1 Jul 29 11:00","165","2.25","27.6","30.502796791312","31.8125224074597"
"Year 1 Jul 29 12:00","240","16.5","28.075","30.5489537976918","33.3810960786475"
"Year 1 Jul 29 13:00","429.75","84","28.575","30.6652200044989","36.7260841098586"
"Year 1 Jul 29 14:00","464.5","206.5","29.15","30.8964686546867","38.5581135400455"
"Year 1 Jul 29 15:00","388","304.75","29.675","31.2484397712732","38.8286377683338"
"Year 1 Jul 29 16:00","332","194.75","29.65","31.66292986438","38.6078601090398"
"Year 1 Jul 29 17:00","240","80.75","29.525","32.0656460197874","37.4094911923386"
"Year 1 Jul 29 18:00","116","15","29.35","32.4051303522852","34.9821130497629"
"Year 1 Jul 29 19:00","24.25","0","29.15","32.6236146881718","32.6776317689656"
"Year 1 Jul 29 20:00","0","0","29.025","32.6888569228252","31.4902596859543"
"Year 1 Jul 29 21:00","0","0","28.85","32.6185552826847","27.4604181704478"
"Year 1 Jul 29 22:00","0","0","28.725","32.4120349544494","28.1728302663468"
"Year 1 Jul 29 23:00","0","0","28.55","32.1051502969972","29.1571344922399"
"Year 1 Jul 30 00:00","0","0","28.425","31.8129986745087","29.0660911552933"
"Year 1 Jul 30 01:00","0","0","28.175","31.5741758453433","28.8998727730851"
"Year 1 Jul 30 02:00","0","0","27.8","31.3726992832942","28.6868978706237"
"Year 1 Jul 30 03:00","0","0","27.475","31.1932384829562","28.4294707620826"
"Year 1 Jul 30 04:00","0","0","27.25","31.0259496818336","28.1358989257668"
"Year 1 Jul 30 05:00","0","0","27.05","30.8635202484846","27.8374957503466"
"Year 1 Jul 30 06:00","0","0","26.85","30.7048245858523","27.5508184383271"
"Year 1 Jul 30 07:00","9.5","0","27.175","30.5470047674554","27.6534280569665"
"Year 1 Jul 30 08:00","40.25","0","27.6","30.3983171482138","28.3108317375781"
"Year 1 Jul 30 09:00","85.75","0","28.075","30.276886072","29.4300345915733"
"Year 1 Jul 30 10:00","130.5","0.5","28.575","30.2083574060233","30.6759070756279"
"Year 1 Jul 30 11:00","165","2.25","29","30.2101814701554","31.8402355158484"
"Year 1 Jul 30 12:00","219.25","6.5","29.475","30.2846081854255","33.2262376712965"
"Year 1 Jul 30 13:00","352","21.75","30.125","30.4291978461997","35.7522350876849"
"Year 1 Jul 30 14:00","424.5","49.5","30.9","30.665820618478","37.6083565563801"
"Year 1 Jul 30 15:00","411.25","82.5","31.625","31.0076390568856","38.5303853690241"
"Year 1 Jul 30 16:00","342.75","52.75","31.725","31.4160451913258","38.4286352943172"
"Year 1 Jul 30 17:00","238.5","27.5","31.7","31.8263055325552","37.6511116290697"
"Year 1 Jul 30 18:00","115.75","12.75","31.625","32.1887343217359","35.883532031465"
"Year 1 Jul 30 19:00","23.5","0","30.775","32.4540547404237","33.4588207486413"
"Year 1 Jul 30 20:00","0","0","29.6","32.576920345071","31.9839494249952"
"Year 1 Jul 30 21:00","0","0","28.475","32.5593806802177","31.028421005924"
"Year 1 Jul 30 22:00","0","0","28.125","32.4414779829203","30.4065066866042"
"Year 1 Jul 30 23:00","0","0","27.95","32.2716997059942","29.9574513655985"
"Year 1 Jul 31 00:00","0","0","27.825","32.0761806892197","29.6048980607662"
"Year 1 Jul 31 01:00","0","0","27.575","31.8747920352483","29.2931234971125"
"Year 1 Jul 31 02:00","0","0","27.35","31.6756638088281","28.9724043065259"
"Year 1 Jul 31 03:00","0","0","27.075","31.482477924167","28.5974686862325"
"Year 1 Jul 31 04:00","0","0","26.775","31.2934654364461","28.2689973605759"
"Year 1 Jul 31 05:00","0","0","26.55","31.1064313585585","27.9916161411443"
"Year 1 Jul 31 06:00","0","0","26.275","30.9217545697583","27.6994141436501"
"Year 1 Jul 31 07:00","27.5","0","26.65","30.7395414938496","28.1136225413123"
"Year 1 Jul 31 08:00","110.25","11.25","27.25","30.576103632486","29.983774975895"
"Year 1 Jul 31 09:00","221.5","48","27.85","30.4746901387958","32.9028180166846"
"Year 1 Jul 31 10:00","334.5","58.75","28.6","30.4957764429844","35.5575403222454"
"Year 1 Jul 31 11:00","415.5","74.25","29.4","30.6730992913837","37.7209616896367"
"Year 1 Jul 31 12:00","445","105.5","30.2","30.9965472239691","38.8192515474323"
"Year 1 Jul 31 13:00","463.75","106.75","30.325","31.4124375121302","39.8995056071803"
"Year 1 Jul 31 14:00","446.25","105.25","30.15","31.8640661609185","40.4179392820319"
"Year 1 Jul 31 15:00","402","92.25","30.025","32.3213589274875","40.8517162522774"
"Year 1 Jul 31 16:00","341.75","52.75","30.075","32.7597643334927","40.275222849127"
"Year 1 Jul 31 17:00","237.5","27.5","30.1","33.1549509529765","38.6903264697856"
"Year 1 Jul 31 18:00","119.25","12.75","30.175","33.4653450161014","36.1855180425228"
"Year 1 Jul 31 19:00","36.5","0","29.75","33.6454831651832","33.5653772487729"
"Year 1 Jul 31 20:00","0","0","29.3","33.6645915380462","31.7199933669407"
"Year 1 Jul 31 21:00","0","0","28.9","33.5389451254423","30.6894736617906"
"Year 1 Jul 31 22:00","0","0","28.425","33.313923193156","29.931939437835"
"Year 1 Jul 31 23:00","0","0","27.925","33.0382267162674","29.2988079971015"
"Year 1 Aug 01 00:00","0","0","27.35","32.7416974332607","28.6840952227075"
"Year 1 Aug 01 01:00","0","0","26.675","32.4397196993691","28.4550298028806"
"Year 1 Aug 01 02:00","0","0","26.125","32.1437959743041","28.1048088641414"
"Year 1 Aug 01 03:00","0","0","25.7","31.861293648038","25.2116322442743"
"Year 1 Aug 01 04:00","0","0","25.45","31.5504884938463","25.6987409689256"
"Year 1 Aug 01 05:00","0","0","25.325","31.1978964280357","26.4236441557777"
"Year 1 Aug 01 06:00","0","0","25.225","30.879662411126","26.3694494625887"
"Year 1 Aug 01 07:00","9.75","0","25.575","30.6154856091794","26.5885775006179"
"Year 1 Aug 01 08:00","41.5","0","25.85","30.396573010992","27.2273544155555"
"Year 1 Aug 01 09:00","87.5","0","26.125","30.2238065686778","28.2628118103296"
"Year 1 Aug 01 10:00","131.5","0.5","26.35","30.1109427415136","29.3411871484936"
"Year 1 Aug 01 11:00","166","2.25","26.55","30.0670491198344","30.2800540883818"
"Year 1 Aug 01 12:00","220.25","6.5","26.75","30.0828307265618","25.4982579219764"
"Year 1 Aug 01 13:00","353.25","22","27.625","30.0607862599032","28.9296179024995"
"Year 1 Aug 01 14:00","426.25","51","28.65","29.9828825676339","34.5481341475602"
"Year 1 Aug 01 15:00","398.75","78.25","29.725","30.0593186485295","36.0628434533445"
"Year 1 Aug 01 16:00","277.75","28.5","29.4","30.3319450351329","35.2968352581355"
"Year 1 Aug 01 17:00","140","9","28.6","30.6800990853624","33.3755949942971"
"Year 1 Aug 01 18:00","43","0","27.8","30.9640285751435","26.609186402451"
"Year 1 Aug 01 19:00","9.75","0","26.925","31.0362714405387","27.2430586068245"
"Year 1 Aug 01 20:00","0","0","26.025","30.8889941345804","25.967916976922"
"Year 1 Aug 01 21:00","0","0","26.55","30.6484878897931","26.4946779264685"
"Year 1 Aug 01 22:00","0","0","26.725","30.3812887873308","27.0733496051054"
"Year 1 Aug 01 23:00","0","0","26.55","30.1416570485715","27.0605352846374"
"Year 1 Aug 02 00:00","0","0","26.425","29.9487457746598","26.9755408727742"
"Year 1 Aug 02 01:00","0","0","26.25","29.7863695742044","26.8323734433429"
"Year 1 Aug 02 02:00","0","0","26.05","29.6412630332341","26.6634965332236"
"Year 1 Aug 02 03:00","0","0","25.85","29.5038235296296","25.3595477417662"
"Year 1 Aug 02 04:00","0","0","25.725","29.3519145051634","25.5953254999299"
"Year 1 Aug 02 05:00","0","0","25.7","29.1806487427498","25.9552833383453"
"Year 1 Aug 02 06:00","0","0","25.625","29.0227367001246","25.8831337467596"
"Year 1 Aug 02 07:00","32.25","1.75","25.75","28.8860718314327","26.4133598187591"
"Year 1 Aug 02 08:00","121","16.5","25.95","28.7739892552084","28.2627172333082"
"Year 1 Aug 02 09:00","216.5","38","26.15","28.7201187481102","30.3581894800143"
"Year 1 Aug 02 10:00","275.5","16.25","26.425","28.7660461325299","31.7572809342635"
"Year 1 Aug 02 11:00","246.25","12","26.725","28.9143585137317","32.051840983543"
"Year 1 Aug 02 12:00","218","8.75","27.025","29.1247652634853","31.9893558294902"
"Year 1 Aug 02 13:00","353","22","27.775","29.3461417499954","34.3278336534238"
"Year 1 Aug 02 14:00","425.5","50.75","28.6","29.5963654126258","36.2326210611894"
"Year 1 Aug 02 15:00","413.75","82.75","29.475","29.9122553784715","37.4112448376239"
"Year 1 Aug 02 16:00","348.5","49.5","29.55","30.2934035039579","37.3459505511676"
"Year 1 Aug 02 17:00","240.25","30","29.275","30.6871862217076","36.3654813936402"
"Year 1 Aug 02 18:00","118.25","15.75","29.05","31.0336657959504","34.4645443886547"
"Year 1 Aug 02 19:00","28.75","0","28.625","31.2805224552288","32.068867643973"
"Year 1 Aug 02 20:00","0","0","28.2","31.3864827777446","30.5616848182898"
"Year 1 Aug 02 21:00","0","0","27.725","31.3554777983711","29.6559761712626"
"Year 1 Aug 02 22:00","0","0","27.525","31.226859308664","29.0595117573713"
"Year 1 Aug 02 23:00","0","0","27.5","31.0475186181304","28.6966386896455"
"Year 1 Aug 03 00:00","0","0","27.425","30.8476732248624","28.3981602958869"
"Year 1 Aug 03 01:00","0","0","27.175","30.6449858684502","28.0796300591345"
"Year 1 Aug 03 02:00","0","0","26.95","30.4477434334234","27.7905799040855"
"Year 1 Aug 03 03:00","0","0","26.675","30.2579301068424","27.4978421196658"
"Year 1 Aug 03 04:00","0","0","26.525","30.0745341558594","27.2339330574604"
"Year 1 Aug 03 05:00","0","0","26.35","29.8971752775505","26.9956340059649"
"Year 1 Aug 03 06:00","0","0","26.225","29.7242749139218","26.7693556952106"
"Year 1 Aug 03 07:00","33.5","16.5","26.575","29.557884850875","27.4926759652302"
"Year 1 Aug 03 08:00","128","90.75","27","29.4166365119671","30.0043294949436"
"Year 1 Aug 03 09:00","251","144.5","27.475","29.3549797803186","32.9601513196593"
"Year 1 Aug 03 10:00","349.75","71.5","27.975","29.4350175582513","34.6606211300214"
"Year 1 Aug 03 11:00","307","29.5","28.4","29.659396119595","34.7296740327537"
"Year 1 Aug 03 12:00","218","9.5","28.875","29.9627660466384","33.9278130604414"
"Year 1 Aug 03 13:00","353","22","29.525","30.2508697691388","36.0655096144564"
"Year 1 Aug 03 14:00","425.25","50.75","30.3","30.5361717631158","37.7985933252399"
"Year 1 Aug 03 15:00","409","108","31.025","30.8669416495397","38.7452196100853"
"Year 1 Aug 03 16:00","345","144.25","31.5","31.2431966651372","38.873413921519"
"Year 1 Aug 03 17:00","272","107","31.9","31.6305504639846","38.5990782864533"
"Year 1 Aug 03 18:00","139.5","75.75","32.3","31.9916043433396","37.0140570245736"
"Year 1 Aug 03 19:00","36.25","0","31.275","32.2801441390449","34.1192635092305"
"Year 1 Aug 03 20:00","0","0","29.85","32.4293520732561","32.2756638831426"
"Year 1 Aug 03 21:00","0","0","28.375","32.4251918578738","31.192356280581"
"Year 1 Aug 03 22:00","0","0","27.85","32.3041152219801","30.376787773346"
"Year 1 Aug 03 23:00","0","0","27.725","32.1198895155921","29.7803787074257"
"Year 1 Aug 04 00:00","0","0","27.55","31.9042552491702","29.2425098992309"
"Year 1 Aug 04 01:00","0","0","27.35","31.6747093019162","28.726832983337"
"Year 1 Aug 04 02:00","0","0","27.225","31.4410008152272","28.2914478999374"
"Year 1 Aug 04 03:00","0","0","27.05","31.2090421392431","27.8744563530912"
"Year 1 Aug 04 04:00","0","0","26.625","30.9799169036853","27.5113327957821"
"Year 1 Aug 04 05:00","0","0","26.2","30.7537732314583","27.1955518976611"
"Year 1 Aug 04 06:00","0","0","25.725","30.5324309444771","26.8518136984185"
"Year 1 Aug 04 07:00","31.25","1.25","25.825","30.3154481186266","27.2270230544794"
"Year 1 Aug 04 08:00","120","15","26.2","30.1177517998019","28.9773512206258"
"Year 1 Aug 04 09:00","224.5","48.25","26.525","29.9834200495734","31.3475342486704"
"Year 1 Aug 04 10:00","337","60","27.35","29.9614545058679","33.5497203643435"
"Year 1 Aug 04 11:00","416.5","76.5","28.35","30.0775816176122","35.3262195190771"
"Year 1 Aug 04 12:00","447","129.25","29.35","30.31781039052","36.3946923287613"
"Year 1 Aug 04 13:00","462.75","217","29.075","30.6458442320528","37.0962393265361"
"Year 1 Aug 04 14:00","431.25","297.5","28.45","31.0005089533001","37.3729362065028"
"Year 1 Aug 04 15:00","395.5","301","27.775","31.3523355921055","37.3580068138019"
"Year 1 Aug 04 16:00","329.25","203","28.05","31.6785285388376","36.874538126712"
"Year 1 Aug 04 17:00","238","86","28.65","31.9664350188292","35.8657093935617"
"Year 1 Aug 04 18:00","117","17.25","29.25","32.1922166262759","33.9148647165327"
"Year 1 Aug 04 19:00","31.75","0","29.175","32.3205615926951","31.9599480567589"
"Year 1 Aug 04 20:00","0","0","28.8","32.3256094384247","30.6328477083756"
"Year 1 Aug 04 21:00","0","0","28.475","32.2211418608979","29.9344134953291"
"Year 1 Aug 04 22:00","0","0","28.175","32.0454119909399","29.4063435066429"
"Year 1 Aug 04 23:00","0","0","27.8","31.8346395098949","28.9086428532155"
"Year 1 Aug 05 00:00","0","0","27.475","31.6098225842493","28.4436946496518"
"Year 1 Aug 05 01:00","0","0","27.1","31.38226879922","28.0182225360175"
"Year 1 Aug 05 02:00","0","0","26.7","31.1545928976513","27.6064631262027"
"Year 1 Aug 05 03:00","0","0","26.3","30.9284714413607","27.2110271288718"
"Year 1 Aug 05 04:00","0","0","26.05","30.7036528306028","26.9386700308952"
"Year 1 Aug 05 05:00","0","0","25.85","30.4814330331561","26.7079807275543"
"Year 1 Aug 05 06:00","0","0","25.65","30.2684173971249","26.4958749542516"
"Year 1 Aug 05 07:00","9.5","0","25.675","30.0664968621503","26.5201731586558"
"Year 1 Aug 05 08:00","40.5","0","25.85","29.8796007317761","27.0136504006202"
"Year 1 Aug 05 09:00","120.5","11.75","25.975","29.7205088485077","28.4357459168769"
"Year 1 Aug 05 10:00","287.75","81.25","26.6","29.6171579686193","31.646915982581"
"Year 1 Aug 05 11:00","389.25","225.5","27.475","29.6322598161514","34.4521097756627"
"Year 1 Aug 05 12:00","422.75","345","28.3","29.8068852760073","36.4161893948247"
"Year 1 Aug 05 13:00","472.5","286.25","28.65","30.1255400251037","37.5921793758889"
"Year 1 Aug 05 14:00","548.5","154.25","28.925","30.5381067363442","38.7290195256238"
"Year 1 Aug 05 15:00","452.25","153.25","29.15","30.9876353983683","38.5190148707854"
"Year 1 Aug 05 16:00","335.75","134.75","29.425","31.4334747174545","37.6660115740293"
"Year 1 Aug 05 17:00","239.25","56.5","29.65","31.8243915445914","36.4322107806817"
"Year 1 Aug 05 18:00","118.25","16.5","29.925","32.1200092009996","34.403390384533"
"Year 1 Aug 05 19:00","38","0","29.475","32.2949769695877","32.342110300841"
"Year 1 Aug 05 20:00","0","0","28.85","32.3298599061814","30.6953942172608"
"Year 1 Aug 05 21:00","0","0","28.175","32.2390089902372","29.711746022354"
"Year 1 Aug 05 22:00","0","0","28.15","32.0578029030318","29.2480155077871"
"Year 1 Aug 05 23:00","0","0","28.35","31.835102800922","29.0562781314774"
"Year 1 Aug 06 00:00","0","0","28.55","31.6037865820857","28.9746708507488"
"Year 1 Aug 06 01:00","0","0","28.075","31.3844859177429","28.6081795102165"
"Year 1 Aug 06 02:00","0","0","27.3","31.1782974725489","28.0624846256474"
"Year 1 Aug 06 03:00","0","0","26.575","30.9768073394447","27.4926612291698"
"Year 1 Aug 06 04:00","0","0","26.175","30.7708490623072","27.0690002651664"
"Year 1 Aug 06 05:00","0","0","25.95","30.5582218033619","26.7610950887747"
"Year 1 Aug 06 06:00","0","0","25.675","30.3418315043087","26.4610638595804"
"Year 1 Aug 06 07:00","37.75","28.25","25.825","30.1312324419281","27.2749176131516"
"Year 1 Aug 06 08:00","128.5","172.5","26.2","29.9462245421485","30.0782274261876"
"Year 1 Aug 06 09:00","200.75","377.25","26.525","29.8524230520269","32.7810740664347"
"Year 1 Aug 06 10:00","276","420.25","26","29.9048976201426","33.7632468484544"
"Year 1 Aug 06 11:00","387.25","268","25.125","30.0836138584242","34.1320129053503"
"Year 1 Aug 06 12:00","427.75","127.25","24.3","30.3218252510876","33.7771560205747"
"Year 1 Aug 06 13:00","463.75","109.75","25.45","30.5566041537268","34.6092341800436"
"Year 1 Aug 06 14:00","456.5","96.75","27.175","30.7842446157571","36.0647735621702"
"Year 1 Aug 06 15:00","430.5","84","28.95","31.0181365964513","26.0312258739506"
"Year 1 Aug 06 16:00","346.5","139.5","29.925","31.1111412835942","30.1144546124325"
"Year 1 Aug 06 17:00","278","92","30.55","31.007769554377","35.0500704034586"
"Year 1 Aug 06 18:00","138.25","73.5","31.225","30.9998478281549","34.3655548738631"
"Year 1 Aug 06 19:00","39.25","0","30.875","31.1272641306397","32.2116057697643"
"Year 1 Aug 06 20:00","0","0","30.25","31.2472902538294","30.8344704648493"
"Year 1 Aug 06 21:00","0","0","29.575","31.2824521006844","30.1404970689118"
"Year 1 Aug 06 22:00","0","0","29.025","31.2347920800243","29.6153570413933"
"Year 1 Aug 06 23:00","0","0","28.6","31.1343840380065","29.1713888560672"
"Year 1 Aug 07 00:00","0","0","28.125","31.0046989991164","28.7114168418585"
"Year 1 Aug 07 01:00","0","0","27.85","30.8572674449737","28.3541265373783"
"Year 1 Aug 07 02:00","0","0","27.65","30.7000419051285","28.1038456263574"
"Year 1 Aug 07 03:00","0","0","27.45","30.5388519725932","27.8643824070913"
"Year 1 Aug 07 04:00","0","0","27.175","30.3783191766375","27.5774144644012"
"Year 1 Aug 07 05:00","0","0","26.8","30.2184610065692","27.2661496207091"
"Year 1 Aug 07 06:00","0","0","26.475","30.0596252160339","26.9515691697645"
"Year 1 Aug 07 07:00","32.25","8","26.55","29.901113417632","27.4825571761925"
"Year 1 Aug 07 08:00","123.25","29.25","26.75","29.7566001352679","29.3764010545624"
"Year 1 Aug 07 09:00","231.75","30.25","26.95","29.6725961591679","31.4395717491924"
"Year 1 Aug 07 10:00","336.25","60","27.6","29.6936242566738","33.8378100781495"
"Year 1 Aug 07 11:00","416.25","76.5","28.4","29.8433357274224","36.0289142579069"
"Year 1 Aug 07 12:00","445","108.5","29.2","30.1225273204856","37.382356039063"
"Year 1 Aug 07 13:00","463.75","109.75","29.55","30.4999573060915","38.3987852274037"
"Year 1 Aug 07 14:00","456.5","96.75","29.75","30.9234972173816","39.2452128646897"
"Year 1 Aug 07 15:00","434.25","58.75","29.95","31.3662611589526","39.6383612171304"
"Year 1 Aug 07 16:00","346","49.5","30.15","31.802703396942","38.9968490903134"
"Year 1 Aug 07 17:00","236.25","29.5","30.35","32.1978881914439","37.7427329719907"
"Year 1 Aug 07 18:00","115.75","14.25","30.55","32.5131046412517","35.7352636783901"
"Year 1 Aug 07 19:00","30.25","0","30.225","32.7132694504787","33.5535453167777"
"Year 1 Aug 07 20:00","0","0","29.65","32.7743423404334","32.0928954911364"
"Year 1 Aug 07 21:00","0","0","29.125","32.710089661874","31.2806810402416"
"Year 1 Aug 07 22:00","0","0","28.625","32.5618128750832","30.5933958238766"
"Year 1 Aug 07 23:00","0","0","28.2","32.3672665410728","30.024906841848"
"Year 1 Aug 08 00:00","0","0","27.725","32.1518208189093","29.4777188448136"
"Year 1 Aug 08 01:00","0","0","27.15","31.9257871072226","28.8922381379876"
"Year 1 Aug 08 02:00","0","0","26.55","31.6940361341668","28.221687705761"
"Year 1 Aug 08 03:00","0","0","26.4","31.4570152020471","27.7718178781448"
"Year 1 Aug 08 04:00","0","0","26.325","31.2165603192718","27.516249183253"
"Year 1 Aug 08 05:00","0","0","26.15","30.9779896237685","27.2974062081142"
"Year 1 Aug 08 06:00","0","0","26.025","30.7484333225037","27.1406464248369"
"Year 1 Aug 08 07:00","36.75","28.5","26.3","30.5317283817066","28.1660263514271"
"Year 1 Aug 08 08:00","126.25","179.5","26.7","30.3541145113204","31.4384211445551"
"Year 1 Aug 08 09:00","185.75","423","27.1","30.2851179046965","34.4911700920369"
"Year 1 Aug 08 10:00","218.75","559.5","27.725","30.3862803762195","35.9692027515772"
"Year 1 Aug 08 11:00","310.5","496.75","28.35","30.6416490603612","37.2771066177416"
"Year 1 Aug 08 12:00","420.25","353.5","29.025","30.9892542741566","38.7084603877951"
"Year 1 Aug 08 13:00","426","368.5","29.725","31.3909347977993","39.6749577006291"
"Year 1 Aug 08 14:00","410.25","363.5","30.35","31.8266621753531","40.4927250488663"
"Year 1 Aug 08 15:00","386","309.75","31.025","32.2768033765987","40.8035671578807"
"Year 1 Aug 08 16:00","327","202","31.5","32.7162772078863","40.3531765183796"
"Year 1 Aug 08 17:00","235","84.5","31.9","33.1146525025179","39.1769690671765"
"Year 1 Aug 08 18:00","114","15","32.3","33.4401758589965","36.9609109113984"
"Year 1 Aug 08 19:00","29.5","0","31.5","33.6512494737787","34.5549450243199"
"Year 1 Aug 08 20:00","0","0","30.3","33.711974304272","32.7970246799528"
"Year 1 Aug 08 21:00","0","0","29.1","33.6335253601524","31.6082513383221"
"Year 1 Aug 08 22:00","0","0","28.575","33.4530377031067","30.7624129077989"
"Year 1 Aug 08 23:00","0","0","28.35","33.2165797898018","30.1721216859628"
"Year 1 Aug 09 00:00","0","0","28.075","32.954679066994","29.6525480628492"
"Year 1 Aug 09 01:00","0","0","27.85","32.6845814542703","29.267950061134"
"Year 1 Aug 09 02:00","0","0","27.65","32.4199053871111","28.9584238768337"
"Year 1 Aug 09 03:00","0","0","27.45","32.1663999904054","28.6649961515974"
"Year 1 Aug 09 04:00","0","0","27.1","31.9260488891983","28.337587944654"
"Year 1 Aug 09 05:00","0","0","26.7","31.6962271206388","27.9777334673381"
"Year 1 Aug 09 06:00","0","0","26.3","31.4704721680699","24.9034439296554"
"Year 1 Aug 09 07:00","26.25","0","26.275","31.2018314537345","26.0606288030076"
"Year 1 Aug 09 08:00","108.25","12","26.45","30.8992926729505","28.7069675883778"
"Year 1 Aug 09 09:00","222.25","66.75","26.575","30.6734421368975","31.1500747076727"
"Year 1 Aug 09 10:00","334.75","154.75","27.425","30.5935728849173","33.9467684004639"
"Year 1 Aug 09 11:00","388.25","277","28.45","30.6809449945243","36.2481195332345"
"Year 1 Aug 09 12:00","416.5","341.25","29.525","30.9243465062721","37.9882313988657"
"Year 1 Aug 09 13:00","449","266.25","30.175","31.2913355662147","38.7672594030448"
"Year 1 Aug 09 14:00","450.75","168.25","30.75","31.7241685774524","39.4794332861411"
"Year 1 Aug 09 15:00","403.75","111.5","31.275","32.1686811941749","39.4404694520594"
"Year 1 Aug 09 16:00","344.25","138.5","31.325","32.5958562601059","38.9861032293431"
"Year 1 Aug 09 17:00","275","90.25","31.15","32.9658860888107","38.0411040137744"
"Year 1 Aug 09 18:00","135","70.5","31.025","33.2593117364769","36.1400208631576"
"Year 1 Aug 09 19:00","36.25","0","30.325","33.4486112772121","33.4517380786022"
"Year 1 Aug 09 20:00","0","0","29.5","33.4951381174539","31.6697843908495"
"Year 1 Aug 09 21:00","0","0","28.625","33.3993149316337","30.5337495011987"
"Year 1 Aug 09 22:00","0","0","28.175","33.1998405391435","29.808389022282"
"Year 1 Aug 09 23:00","0","0","27.8","32.9453528975787","29.2812631915705"
