1,"Building 1.eso"

"Date/Time","[1] Site Diffuse Solar Radiation Rate per Area  (W/m2)","[1] Site Direct Solar Radiation Rate per Area  (W/m2)","[1] Site Outdoor Air Drybulb Temperature  (C)","[1] Surface Inside Face Conduction Heat Transfer Rate  (W)","[1] Surface Inside Face Temperature  (C)","[1] Surface Outside Face Temperature  (C)"
,"Environment","Environment","Environment","BLOCK1:ZONE1_WALL_3_0_0","BLOCK1:ZONE1_WALL_3_0_0","BLOCK1:ZONE1_WALL_3_0_0"
"Year 1 Jan 09 16:00","145.5","538","25.125","278.478247100039","30.2671169696634","45.6304580001144"
"Year 1 Jan 09 17:00","86","379.5","25.1","341.173670937229","31.1142444316615","41.3403317428017"
"Year 1 Jan 09 18:00","35.25","69.75","25.025","376.423701713513","31.7384343201974","34.3527211121079"
"Year 1 Jan 09 19:00","0","0","24.025","376.409713817759","32.0272563256269","30.3102465939451"
"Year 1 Jan 09 20:00","0","0","22.65","343.53776900214","31.9585031360034","28.2124281844996"
"Year 1 Jan 09 21:00","0","0","21.325","290.899310172251","31.6402295288331","26.5459574015284"
"Year 1 Jan 09 22:00","0","0","20.025","232.06280122826","31.1842821216448","25.1099032761547"
"Year 1 Jan 09 23:00","0","0","18.65","173.104154763107","30.6645956978578","23.7676733143398"
"Year 1 Jan 10 00:00","0","0","17.325","118.564325318395","30.1108408261654","22.5122747771346"
"Year 1 Jan 10 01:00","0","0","16.7","66.7845933674741","29.5481642493137","21.598576968781"
"Year 1 Jan 10 02:00","0","0","16.3","18.9422475856642","28.9889033865216","20.8802699848844"
"Year 1 Jan 10 03:00","0","0","15.9","-23.2035309409717","28.4422201391201","20.2516826396852"
"Year 1 Jan 10 04:00","0","0","15.2","-59.3476668947412","27.9145081364003","19.5063632655878"
"Year 1 Jan 10 05:00","0","0","14.4","-89.4096366590497","27.402060421556","18.7226024816825"
"Year 1 Jan 10 06:00","0","0","13.6","-116.064641946272","26.9023075111768","17.9319408882435"
"Year 1 Jan 10 07:00","0","0","13.4","-141.801044219312","26.4185701725898","17.3498558245465"
"Year 1 Jan 10 08:00","33.5","54.5","13.4","-165.791501381166","25.9484117865517","18.4481195199789"
"Year 1 Jan 10 09:00","110.25","290.75","13.475","-184.877611936117","25.519303944678","24.2236893197416"
"Year 1 Jan 10 10:00","140.5","569","16.125","-188.37154966617","25.2643298853034","32.6870528139051"
"Year 1 Jan 10 11:00","119.75","771","19.55","-164.171746097143","25.3727446772229","40.7195477219524"
"Year 1 Jan 10 12:00","116.25","843.5","23.025","-103.008121061791","25.9334904320374","46.7913498982096"
"Year 1 Jan 10 13:00","117","860.5","24.725","-14.6171167444914","26.915299839774","50.488384358764"
"Year 1 Jan 10 14:00","115.5","842","25.75","93.3224971715501","28.1658521500242","52.0662973139443"
"Year 1 Jan 10 15:00","109.25","783.75","26.75","207.130245453539","29.4979859649372","51.7259927420736"
"Year 1 Jan 10 16:00","101.75","651.75","26.625","310.523120664236","30.7720397605713","48.8992313484932"
"Year 1 Jan 10 17:00","83.25","384","26.05","394.198469597665","31.839544852189","42.8517444303851"
"Year 1 Jan 10 18:00","36","65.25","25.525","439.429747868361","32.5902431653152","35.2729547900645"
"Year 1 Jan 10 19:00","0","0","24.125","438.119299254782","32.9098001769743","30.9621901326904"
"Year 1 Jan 10 20:00","0","0","22.5","397.990201590367","32.8160964312705","28.6794835377158"
"Year 1 Jan 10 21:00","0","0","20.825","336.017919936139","32.4487805397201","26.8304005254348"
"Year 1 Jan 10 22:00","0","0","19.575","268.411670664052","31.9324458835556","25.3635921632002"
"Year 1 Jan 10 23:00","0","0","18.4","200.384018705988","31.3552290381931","24.0786247983067"
"Year 1 Jan 11 00:00","0","0","17.275","138.322240701942","30.7512634060416","22.9273954341262"
"Year 1 Jan 11 01:00","0","0","16.4","81.4947275994049","30.1462813081407","21.9050648316972"
"Year 1 Jan 11 02:00","0","0","15.675","30.1353701457348","29.5523633361206","20.9924958319747"
